SANCTUARY,date,SST_0,Temperature
FKNMS,X2007010100_water_temp_0,5026.8859567,25.0268859567
FKNMS,X2007010200_water_temp_0,5365.8239487,25.3658239487
FKNMS,X2007010300_water_temp_0,5481.123715,25.481123715
FKNMS,X2007010400_water_temp_0,5462.1912786,25.462191278600002
FKNMS,X2007010500_water_temp_0,5415.5648376,25.4155648376
FKNMS,X2007010600_water_temp_0,5484.6160298,25.4846160298
FKNMS,X2007010700_water_temp_0,5561.8576155,25.5618576155
FKNMS,X2007010800_water_temp_0,5472.6403643,25.4726403643
FKNMS,X2007010900_water_temp_0,5683.9006491,25.6839006491
FKNMS,X2007011000_water_temp_0,5210.6047852,25.2106047852
FKNMS,X2007011100_water_temp_0,4533.7588196,24.5337588196
FKNMS,X2007011200_water_temp_0,4533.8370307,24.5338370307
FKNMS,X2007011300_water_temp_0,4589.8098394,24.5898098394
FKNMS,X2007011400_water_temp_0,4609.3327595,24.6093327595
FKNMS,X2007011500_water_temp_0,4617.8829029,24.6178829029
FKNMS,X2007011600_water_temp_0,4643.9413592,24.6439413592
FKNMS,X2007011700_water_temp_0,4803.9070063,24.8039070063
FKNMS,X2007011800_water_temp_0,4816.4695285,24.8164695285
FKNMS,X2007011900_water_temp_0,4862.8143422,24.8628143422
FKNMS,X2007012000_water_temp_0,4874.7441223,24.8747441223
FKNMS,X2007012100_water_temp_0,4770.6813146,24.7706813146
FKNMS,X2007012200_water_temp_0,4717.9621258,24.7179621258
FKNMS,X2007012300_water_temp_0,5026.3110257,25.0263110257
FKNMS,X2007012400_water_temp_0,5560.056178,25.560056178
FKNMS,X2007012500_water_temp_0,5168.8790308,25.1688790308
FKNMS,X2007012600_water_temp_0,4963.9188131,24.9639188131
FKNMS,X2007012700_water_temp_0,4411.8723648,24.4118723648
FKNMS,X2007012800_water_temp_0,4386.2504585,24.3862504585
FKNMS,X2007012900_water_temp_0,4150.1878656,24.1501878656
FKNMS,X2007013000_water_temp_0,3662.5417987,23.6625417987
FKNMS,X2007013100_water_temp_0,3526.9231281,23.5269231281
FKNMS,X2007020100_water_temp_0,3604.5410066,23.6045410066
FKNMS,X2007020200_water_temp_0,4216.6279048,24.2166279048
FKNMS,X2007020300_water_temp_0,4718.6926987,24.7186926987
FKNMS,X2007020400_water_temp_0,4568.6577722,24.568657772199998
FKNMS,X2007020500_water_temp_0,4335.2502425,24.3352502425
FKNMS,X2007020600_water_temp_0,3936.8193019,23.9368193019
FKNMS,X2007020700_water_temp_0,3596.6149046,23.5966149046
FKNMS,X2007020800_water_temp_0,3650.4624655,23.6504624655
FKNMS,X2007020900_water_temp_0,3362.7326947,23.3627326947
FKNMS,X2007021000_water_temp_0,3195.19628,23.19519628
FKNMS,X2007021100_water_temp_0,3265.3851522,23.2653851522
FKNMS,X2007021200_water_temp_0,2919.5706084,22.9195706084
FKNMS,X2007021300_water_temp_0,3441.8241783,23.4418241783
FKNMS,X2007021400_water_temp_0,3831.2322058,23.8312322058
FKNMS,X2007021500_water_temp_0,4324.6087046,24.3246087046
FKNMS,X2007021600_water_temp_0,4173.7979621,24.1737979621
FKNMS,X2007021700_water_temp_0,3398.7885359,23.3987885359
FKNMS,X2007021800_water_temp_0,2828.1629322,22.8281629322
FKNMS,X2007021900_water_temp_0,1856.8539189,21.8568539189
FKNMS,X2007022000_water_temp_0,1649.3859212,21.6493859212
FKNMS,X2007022100_water_temp_0,2071.2680535,22.0712680535
FKNMS,X2007022200_water_temp_0,2686.7082749,22.6867082749
FKNMS,X2007022300_water_temp_0,2483.5235862,22.4835235862
FKNMS,X2007022400_water_temp_0,2848.6338381,22.8486338381
FKNMS,X2007022500_water_temp_0,3124.9020303,23.1249020303
FKNMS,X2007022600_water_temp_0,3676.1426201,23.6761426201
FKNMS,X2007022700_water_temp_0,3633.7338414,23.6337338414
FKNMS,X2007022800_water_temp_0,4423.1911585,24.4231911585
FKNMS,X2007030100_water_temp_0,4818.2180271,24.8182180271
FKNMS,X2007030200_water_temp_0,4772.554997,24.772554997
FKNMS,X2007030300_water_temp_0,5205.030954,25.205030954
FKNMS,X2007030400_water_temp_0,5876.3399366,25.8763399366
FKNMS,X2007030500_water_temp_0,4896.5334776,24.896533477600002
FKNMS,X2007030600_water_temp_0,4173.7054529,24.173705452900002
FKNMS,X2007030700_water_temp_0,3784.7207587,23.7847207587
FKNMS,X2007030800_water_temp_0,3927.6092952,23.9276092952
FKNMS,X2007030900_water_temp_0,3696.0909965,23.6960909965
FKNMS,X2007031000_water_temp_0,3859.8699224,23.8598699224
FKNMS,X2007031100_water_temp_0,4349.8693795,24.3498693795
FKNMS,X2007031200_water_temp_0,4239.695807,24.239695807
FKNMS,X2007031300_water_temp_0,4411.3958865,24.4113958865
FKNMS,X2007031400_water_temp_0,4409.5217844,24.4095217844
FKNMS,X2007031500_water_temp_0,4392.3636491,24.392363649099998
FKNMS,X2007031600_water_temp_0,4536.1413487,24.5361413487
FKNMS,X2007031700_water_temp_0,4683.1637372,24.683163737199997
FKNMS,X2007031800_water_temp_0,4448.9158737,24.4489158737
FKNMS,X2007031900_water_temp_0,4192.0954679,24.1920954679
FKNMS,X2007032000_water_temp_0,3922.1634159,23.922163415900002
FKNMS,X2007032100_water_temp_0,4099.3017995,24.0993017995
FKNMS,X2007032200_water_temp_0,4051.7354477,24.0517354477
FKNMS,X2007032300_water_temp_0,4181.3213035,24.1813213035
FKNMS,X2007032400_water_temp_0,4361.0424365,24.3610424365
FKNMS,X2007032500_water_temp_0,4507.243947,24.507243947
FKNMS,X2007032600_water_temp_0,4625.2655316,24.6252655316
FKNMS,X2007032700_water_temp_0,4715.310315,24.715310315
FKNMS,X2007032800_water_temp_0,4716.3091516,24.7163091516
FKNMS,X2007032900_water_temp_0,4856.7535083,24.856753508300002
FKNMS,X2007033000_water_temp_0,4828.55873,24.82855873
FKNMS,X2007033100_water_temp_0,4747.4342725,24.7474342725
FKNMS,X2007040100_water_temp_0,4549.870796,24.549870796
FKNMS,X2007040200_water_temp_0,4568.3545812,24.5683545812
FKNMS,X2007040300_water_temp_0,4662.9199625,24.6629199625
FKNMS,X2007040400_water_temp_0,5040.5159007,25.0405159007
FKNMS,X2007040500_water_temp_0,5643.7304565,25.643730456500002
FKNMS,X2007040600_water_temp_0,5727.8814951,25.7278814951
FKNMS,X2007040700_water_temp_0,4880.9198742,24.8809198742
FKNMS,X2007040800_water_temp_0,4473.7922784,24.4737922784
FKNMS,X2007040900_water_temp_0,4329.5101227,24.3295101227
FKNMS,X2007041000_water_temp_0,4404.7506159,24.4047506159
FKNMS,X2007041100_water_temp_0,4840.45531,24.84045531
FKNMS,X2007041200_water_temp_0,5008.2815905,25.0082815905
FKNMS,X2007041300_water_temp_0,5910.4375718,25.9104375718
FKNMS,X2007041400_water_temp_0,5346.5527456,25.3465527456
FKNMS,X2007041500_water_temp_0,5161.3182596,25.1613182596
FKNMS,X2007041600_water_temp_0,5067.6291265,25.0676291265
FKNMS,X2007041700_water_temp_0,4419.7115048,24.4197115048
FKNMS,X2007041800_water_temp_0,4330.1614009,24.3301614009
FKNMS,X2007041900_water_temp_0,4488.0234363,24.4880234363
FKNMS,X2007042000_water_temp_0,4570.5656858,24.5705656858
FKNMS,X2007042100_water_temp_0,4883.4341656,24.8834341656
FKNMS,X2007042200_water_temp_0,4896.7156705,24.8967156705
FKNMS,X2007042300_water_temp_0,4639.7037239,24.6397037239
FKNMS,X2007042400_water_temp_0,4474.4098868,24.4744098868
FKNMS,X2007042500_water_temp_0,4597.1065882,24.5971065882
FKNMS,X2007042600_water_temp_0,4872.9337351,24.8729337351
FKNMS,X2007042700_water_temp_0,5231.6069938,25.2316069938
FKNMS,X2007042800_water_temp_0,5851.712844,25.851712843999998
FKNMS,X2007042900_water_temp_0,6607.0820287,26.6070820287
FKNMS,X2007043000_water_temp_0,6346.6014446,26.3466014446
FKNMS,X2007050100_water_temp_0,6465.1965103,26.4651965103
FKNMS,X2007050200_water_temp_0,6350.8668061,26.3508668061
FKNMS,X2007050300_water_temp_0,6511.6548594,26.5116548594
FKNMS,X2007050400_water_temp_0,6828.8495244,26.8288495244
FKNMS,X2007050500_water_temp_0,7287.952003,27.287952003
FKNMS,X2007050600_water_temp_0,7523.3915511,27.523391551099998
FKNMS,X2007050700_water_temp_0,8237.1332882,28.2371332882
FKNMS,X2007050800_water_temp_0,7136.4885377,27.1364885377
FKNMS,X2007050900_water_temp_0,6907.4420913,26.9074420913
FKNMS,X2007051000_water_temp_0,6888.1441032,26.8881441032
FKNMS,X2007051100_water_temp_0,7099.889839,27.099889839
FKNMS,X2007051200_water_temp_0,7371.1445253,27.3711445253
FKNMS,X2007051300_water_temp_0,7695.7182652,27.6957182652
FKNMS,X2007051400_water_temp_0,7681.9500421,27.6819500421
FKNMS,X2007051500_water_temp_0,7754.4419621,27.7544419621
FKNMS,X2007051600_water_temp_0,7252.0471594,27.2520471594
FKNMS,X2007051700_water_temp_0,7616.2591785,27.616259178500002
FKNMS,X2007051800_water_temp_0,7737.5158935,27.7375158935
FKNMS,X2007051900_water_temp_0,8107.06351,28.10706351
FKNMS,X2007052000_water_temp_0,8050.637015,28.050637015
FKNMS,X2007052100_water_temp_0,7519.1327363,27.5191327363
FKNMS,X2007052200_water_temp_0,7474.9383705,27.4749383705
FKNMS,X2007052300_water_temp_0,7363.785359,27.363785359
FKNMS,X2007052400_water_temp_0,7135.0260617,27.1350260617
FKNMS,X2007052500_water_temp_0,6850.291111,26.850291111
FKNMS,X2007052600_water_temp_0,6746.3687361,26.7463687361
FKNMS,X2007052700_water_temp_0,6699.8102368,26.6998102368
FKNMS,X2007052800_water_temp_0,6711.4151344,26.7114151344
FKNMS,X2007052900_water_temp_0,6697.2256682,26.697225668199998
FKNMS,X2007053000_water_temp_0,6750.2081595,26.7502081595
FKNMS,X2007053100_water_temp_0,6450.5037791,26.4505037791
FKNMS,X2007060100_water_temp_0,6106.6334233,26.1066334233
FKNMS,X2007060200_water_temp_0,5822.6056046,25.8226056046
FKNMS,X2007060300_water_temp_0,6194.7290128,26.1947290128
FKNMS,X2007060400_water_temp_0,7081.0524343,27.0810524343
FKNMS,X2007060500_water_temp_0,8468.5680771,28.468568077100002
FKNMS,X2007060600_water_temp_0,7873.9311374,27.8739311374
FKNMS,X2007060700_water_temp_0,7075.7417318,27.0757417318
FKNMS,X2007060800_water_temp_0,7110.5295032,27.1105295032
FKNMS,X2007060900_water_temp_0,7627.7178144,27.6277178144
FKNMS,X2007061000_water_temp_0,7226.5586338,27.2265586338
FKNMS,X2007061100_water_temp_0,8463.9038283,28.4639038283
FKNMS,X2007061200_water_temp_0,8909.940886,28.909940886
FKNMS,X2007061300_water_temp_0,9239.4319048,29.2394319048
FKNMS,X2007061400_water_temp_0,9436.4173036,29.4364173036
FKNMS,X2007061500_water_temp_0,9662.8592138,29.6628592138
