SANCTUARY,date,SST_0,Temperature,datetime
FKNMS,X1994010100_water_temp_0,3488.8811117,23.4888811117,1994-01-01T05:00:00Z
FKNMS,X1994010200_water_temp_0,3821.2440796,23.8212440796,1994-01-02T05:00:00Z
FKNMS,X1994010300_water_temp_0,3914.8332132,23.9148332132,1994-01-03T05:00:00Z
FKNMS,X1994010400_water_temp_0,3780.7205211,23.7807205211,1994-01-04T05:00:00Z
FKNMS,X1994010500_water_temp_0,2789.7074877,22.7897074877,1994-01-05T05:00:00Z
FKNMS,X1994010600_water_temp_0,2284.4590741,22.2844590741,1994-01-06T05:00:00Z
FKNMS,X1994010700_water_temp_0,2452.7540254,22.4527540254,1994-01-07T05:00:00Z
FKNMS,X1994010800_water_temp_0,2717.8663981,22.7178663981,1994-01-08T05:00:00Z
FKNMS,X1994010900_water_temp_0,2495.139347,22.495139347,1994-01-09T05:00:00Z
FKNMS,X1994011000_water_temp_0,2026.8675016,22.0268675016,1994-01-10T05:00:00Z
FKNMS,X1994011100_water_temp_0,2255.2996928,22.2552996928,1994-01-11T05:00:00Z
FKNMS,X1994011200_water_temp_0,2713.005817,22.713005817,1994-01-12T05:00:00Z
FKNMS,X1994011300_water_temp_0,3450.2148183,23.4502148183,1994-01-13T05:00:00Z
FKNMS,X1994011400_water_temp_0,3267.2584966,23.2672584966,1994-01-14T05:00:00Z
FKNMS,X1994011500_water_temp_0,2458.7562177,22.4587562177,1994-01-15T05:00:00Z
FKNMS,X1994011600_water_temp_0,2101.6294478,22.1016294478,1994-01-16T05:00:00Z
FKNMS,X1994011700_water_temp_0,2076.5427166,22.0765427166,1994-01-17T05:00:00Z
FKNMS,X1994011800_water_temp_0,2524.355581,22.524355581000002,1994-01-18T05:00:00Z
FKNMS,X1994011900_water_temp_0,2442.8164792,22.4428164792,1994-01-19T05:00:00Z
FKNMS,X1994012000_water_temp_0,1979.9696427,21.9799696427,1994-01-20T05:00:00Z
FKNMS,X1994012100_water_temp_0,2155.9624308,22.1559624308,1994-01-21T05:00:00Z
FKNMS,X1994012200_water_temp_0,2336.1396781,22.3361396781,1994-01-22T05:00:00Z
FKNMS,X1994012300_water_temp_0,2532.432437,22.532432437,1994-01-23T05:00:00Z
FKNMS,X1994012400_water_temp_0,2575.8660973,22.5758660973,1994-01-24T05:00:00Z
FKNMS,X1994012500_water_temp_0,2633.2642993,22.6332642993,1994-01-25T05:00:00Z
FKNMS,X1994012600_water_temp_0,3008.1091154,23.0081091154,1994-01-26T05:00:00Z
FKNMS,X1994012700_water_temp_0,3267.3881499,23.2673881499,1994-01-27T05:00:00Z
FKNMS,X1994012800_water_temp_0,3620.87573,23.62087573,1994-01-28T05:00:00Z
FKNMS,X1994012900_water_temp_0,4016.0293901,24.0160293901,1994-01-29T05:00:00Z
FKNMS,X1994013000_water_temp_0,4332.1359965,24.3321359965,1994-01-30T05:00:00Z
FKNMS,X1994013100_water_temp_0,4447.5777639,24.4475777639,1994-01-31T05:00:00Z
FKNMS,X1994020100_water_temp_0,4014.9680698,24.0149680698,1994-02-01T05:00:00Z
FKNMS,X1994020200_water_temp_0,3581.8139619,23.5818139619,1994-02-02T05:00:00Z
FKNMS,X1994020300_water_temp_0,3029.1640156,23.0291640156,1994-02-03T05:00:00Z
FKNMS,X1994020400_water_temp_0,2851.8732588,22.8518732588,1994-02-04T05:00:00Z
FKNMS,X1994020500_water_temp_0,3476.9901703,23.4769901703,1994-02-05T05:00:00Z
FKNMS,X1994020600_water_temp_0,4054.9951827,24.0549951827,1994-02-06T05:00:00Z
FKNMS,X1994020700_water_temp_0,4337.5554713,24.3375554713,1994-02-07T05:00:00Z
FKNMS,X1994020800_water_temp_0,4258.7484342,24.2587484342,1994-02-08T05:00:00Z
FKNMS,X1994020900_water_temp_0,4265.0885386,24.2650885386,1994-02-09T05:00:00Z
FKNMS,X1994021000_water_temp_0,4584.024527,24.584024527,1994-02-10T05:00:00Z
FKNMS,X1994021100_water_temp_0,4786.2197955,24.7862197955,1994-02-11T05:00:00Z
FKNMS,X1994021200_water_temp_0,4835.1104599,24.8351104599,1994-02-12T05:00:00Z
FKNMS,X1994021300_water_temp_0,5158.7639498,25.1587639498,1994-02-13T05:00:00Z
FKNMS,X1994021400_water_temp_0,5650.1980734,25.6501980734,1994-02-14T05:00:00Z
FKNMS,X1994021500_water_temp_0,4681.4178628,24.6814178628,1994-02-15T05:00:00Z
FKNMS,X1994021600_water_temp_0,4330.9430651,24.3309430651,1994-02-16T05:00:00Z
FKNMS,X1994021700_water_temp_0,4396.8871144,24.396887114400002,1994-02-17T05:00:00Z
FKNMS,X1994021800_water_temp_0,3974.6401757,23.9746401757,1994-02-18T05:00:00Z
FKNMS,X1994021900_water_temp_0,3561.646756,23.561646756000002,1994-02-19T05:00:00Z
FKNMS,X1994022000_water_temp_0,4002.9145046,24.0029145046,1994-02-20T05:00:00Z
FKNMS,X1994022100_water_temp_0,4662.5750912,24.6625750912,1994-02-21T05:00:00Z
FKNMS,X1994022200_water_temp_0,4703.314991,24.703314991,1994-02-22T05:00:00Z
FKNMS,X1994022300_water_temp_0,4697.3608252,24.6973608252,1994-02-23T05:00:00Z
FKNMS,X1994022400_water_temp_0,4916.3029296,24.9163029296,1994-02-24T05:00:00Z
FKNMS,X1994022500_water_temp_0,5286.7867175,25.2867867175,1994-02-25T05:00:00Z
FKNMS,X1994022600_water_temp_0,6042.2802282,26.0422802282,1994-02-26T05:00:00Z
FKNMS,X1994022700_water_temp_0,4775.2331013,24.7752331013,1994-02-27T05:00:00Z
FKNMS,X1994022800_water_temp_0,4607.7022612,24.6077022612,1994-02-28T05:00:00Z
FKNMS,X1994030100_water_temp_0,4705.2679528,24.7052679528,1994-03-01T05:00:00Z
FKNMS,X1994030200_water_temp_0,4717.6159794,24.7176159794,1994-03-02T05:00:00Z
FKNMS,X1994030300_water_temp_0,4620.309885,24.620309885,1994-03-03T05:00:00Z
FKNMS,X1994030400_water_temp_0,3621.1076425,23.6211076425,1994-03-04T05:00:00Z
FKNMS,X1994030500_water_temp_0,3394.3401707,23.3943401707,1994-03-05T05:00:00Z
FKNMS,X1994030600_water_temp_0,3661.1536836,23.6611536836,1994-03-06T05:00:00Z
FKNMS,X1994030700_water_temp_0,3791.2149452,23.7912149452,1994-03-07T05:00:00Z
FKNMS,X1994030800_water_temp_0,3771.7619151,23.7717619151,1994-03-08T05:00:00Z
FKNMS,X1994030900_water_temp_0,4033.9544699,24.0339544699,1994-03-09T05:00:00Z
FKNMS,X1994031000_water_temp_0,4243.3441375,24.2433441375,1994-03-10T05:00:00Z
FKNMS,X1994031100_water_temp_0,4788.5938921,24.7885938921,1994-03-11T05:00:00Z
FKNMS,X1994031200_water_temp_0,4017.7765181,24.0177765181,1994-03-12T05:00:00Z
FKNMS,X1994031300_water_temp_0,3585.1851759,23.5851851759,1994-03-13T05:00:00Z
FKNMS,X1994031400_water_temp_0,3679.5211449,23.6795211449,1994-03-14T05:00:00Z
FKNMS,X1994031500_water_temp_0,4032.8606152,24.0328606152,1994-03-15T05:00:00Z
FKNMS,X1994031600_water_temp_0,4016.0527806,24.0160527806,1994-03-16T05:00:00Z
FKNMS,X1994031700_water_temp_0,3897.4715144,23.8974715144,1994-03-17T05:00:00Z
FKNMS,X1994031800_water_temp_0,3718.9229394,23.7189229394,1994-03-18T05:00:00Z
FKNMS,X1994031900_water_temp_0,4093.950671,24.093950671,1994-03-19T05:00:00Z
FKNMS,X1994032000_water_temp_0,4810.1162599,24.8101162599,1994-03-20T05:00:00Z
FKNMS,X1994032100_water_temp_0,4995.7633652,24.9957633652,1994-03-21T05:00:00Z
FKNMS,X1994032200_water_temp_0,5342.7278607,25.342727860700002,1994-03-22T05:00:00Z
FKNMS,X1994032300_water_temp_0,5447.1902228,25.4471902228,1994-03-23T05:00:00Z
FKNMS,X1994032400_water_temp_0,5069.9102575,25.0699102575,1994-03-24T05:00:00Z
FKNMS,X1994032500_water_temp_0,4984.7682344,24.9847682344,1994-03-25T05:00:00Z
FKNMS,X1994032600_water_temp_0,5690.4843387,25.6904843387,1994-03-26T05:00:00Z
FKNMS,X1994032700_water_temp_0,5545.0117962,25.5450117962,1994-03-27T05:00:00Z
FKNMS,X1994032800_water_temp_0,5676.7039304,25.676703930400002,1994-03-28T05:00:00Z
FKNMS,X1994032900_water_temp_0,5598.5147153,25.5985147153,1994-03-29T05:00:00Z
FKNMS,X1994033000_water_temp_0,5204.1011015,25.2041011015,1994-03-30T05:00:00Z
FKNMS,X1994033100_water_temp_0,4709.6940973,24.7096940973,1994-03-31T05:00:00Z
FKNMS,X1994040100_water_temp_0,4921.3571297,24.9213571297,1994-04-01T05:00:00Z
FKNMS,X1994040200_water_temp_0,4512.0420891,24.5120420891,1994-04-02T05:00:00Z
FKNMS,X1994040300_water_temp_0,4837.9116448,24.837911644800002,1994-04-03T05:00:00Z
FKNMS,X1994040400_water_temp_0,5564.8380816,25.5648380816,1994-04-04T04:00:00Z
FKNMS,X1994040500_water_temp_0,5038.2371765,25.0382371765,1994-04-05T04:00:00Z
FKNMS,X1994040600_water_temp_0,4858.5171789,24.8585171789,1994-04-06T04:00:00Z
FKNMS,X1994040700_water_temp_0,4933.4629739,24.9334629739,1994-04-07T04:00:00Z
FKNMS,X1994040800_water_temp_0,5730.4507348,25.7304507348,1994-04-08T04:00:00Z
FKNMS,X1994040900_water_temp_0,5430.6501262,25.4306501262,1994-04-09T04:00:00Z
FKNMS,X1994041000_water_temp_0,4951.235532,24.951235532,1994-04-10T04:00:00Z
FKNMS,X1994041100_water_temp_0,4772.3407996,24.7723407996,1994-04-11T04:00:00Z
FKNMS,X1994041200_water_temp_0,4720.6922486,24.720692248600002,1994-04-12T04:00:00Z
FKNMS,X1994041300_water_temp_0,4941.7829655,24.9417829655,1994-04-13T04:00:00Z
FKNMS,X1994041400_water_temp_0,5142.8593521,25.1428593521,1994-04-14T04:00:00Z
FKNMS,X1994041500_water_temp_0,5316.0661206,25.3160661206,1994-04-15T04:00:00Z
FKNMS,X1994041600_water_temp_0,5329.8729319,25.3298729319,1994-04-16T04:00:00Z
FKNMS,X1994041700_water_temp_0,5487.9263345,25.4879263345,1994-04-17T04:00:00Z
FKNMS,X1994041800_water_temp_0,5977.4969756,25.9774969756,1994-04-18T04:00:00Z
FKNMS,X1994041900_water_temp_0,6091.2888994,26.0912888994,1994-04-19T04:00:00Z
FKNMS,X1994042000_water_temp_0,5919.6903036,25.9196903036,1994-04-20T04:00:00Z
FKNMS,X1994042100_water_temp_0,5990.8182491,25.990818249100002,1994-04-21T04:00:00Z
FKNMS,X1994042200_water_temp_0,5993.5250576,25.9935250576,1994-04-22T04:00:00Z
FKNMS,X1994042300_water_temp_0,7014.3054504,27.014305450400002,1994-04-23T04:00:00Z
FKNMS,X1994042400_water_temp_0,7745.427045,27.745427045,1994-04-24T04:00:00Z
FKNMS,X1994042500_water_temp_0,8148.04808,28.148048080000002,1994-04-25T04:00:00Z
FKNMS,X1994042600_water_temp_0,8387.8312845,28.387831284500002,1994-04-26T04:00:00Z
FKNMS,X1994042700_water_temp_0,8270.0748918,28.2700748918,1994-04-27T04:00:00Z
FKNMS,X1994042800_water_temp_0,7503.944283,27.503944283,1994-04-28T04:00:00Z
FKNMS,X1994042900_water_temp_0,6876.3077488,26.876307748800002,1994-04-29T04:00:00Z
FKNMS,X1994043000_water_temp_0,6719.7055022,26.7197055022,1994-04-30T04:00:00Z
FKNMS,X1994050100_water_temp_0,6513.9475683,26.5139475683,1994-05-01T04:00:00Z
FKNMS,X1994050200_water_temp_0,6935.6926297,26.9356926297,1994-05-02T04:00:00Z
FKNMS,X1994050300_water_temp_0,7408.7206439,27.4087206439,1994-05-03T04:00:00Z
FKNMS,X1994050400_water_temp_0,7931.5494129,27.9315494129,1994-05-04T04:00:00Z
FKNMS,X1994050500_water_temp_0,8221.9625676,28.221962567600002,1994-05-05T04:00:00Z
FKNMS,X1994050600_water_temp_0,7589.3678814,27.5893678814,1994-05-06T04:00:00Z
FKNMS,X1994050700_water_temp_0,7291.3599107,27.2913599107,1994-05-07T04:00:00Z
FKNMS,X1994050800_water_temp_0,7420.6207107,27.4206207107,1994-05-08T04:00:00Z
FKNMS,X1994050900_water_temp_0,7982.387218,27.982387218,1994-05-09T04:00:00Z
FKNMS,X1994051000_water_temp_0,7983.003866,27.983003866,1994-05-10T04:00:00Z
FKNMS,X1994051100_water_temp_0,8158.8567234,28.1588567234,1994-05-11T04:00:00Z
FKNMS,X1994051200_water_temp_0,8156.5671326,28.156567132600003,1994-05-12T04:00:00Z
FKNMS,X1994051300_water_temp_0,8636.4313755,28.636431375500003,1994-05-13T04:00:00Z
FKNMS,X1994051400_water_temp_0,8356.7200427,28.3567200427,1994-05-14T04:00:00Z
FKNMS,X1994051500_water_temp_0,8027.9493147,28.027949314700003,1994-05-15T04:00:00Z
FKNMS,X1994051600_water_temp_0,8017.2816822,28.0172816822,1994-05-16T04:00:00Z
FKNMS,X1994051700_water_temp_0,8482.6261939,28.4826261939,1994-05-17T04:00:00Z
FKNMS,X1994051800_water_temp_0,9628.3819404,29.6283819404,1994-05-18T04:00:00Z
FKNMS,X1994051900_water_temp_0,9222.7844812,29.2227844812,1994-05-19T04:00:00Z
FKNMS,X1994052000_water_temp_0,8545.1797017,28.5451797017,1994-05-20T04:00:00Z
FKNMS,X1994052100_water_temp_0,8305.4454398,28.3054454398,1994-05-21T04:00:00Z
FKNMS,X1994052200_water_temp_0,7922.911938,27.922911938,1994-05-22T04:00:00Z
FKNMS,X1994052300_water_temp_0,7685.4187516,27.6854187516,1994-05-23T04:00:00Z
FKNMS,X1994052400_water_temp_0,7964.4674135,27.9644674135,1994-05-24T04:00:00Z
FKNMS,X1994052500_water_temp_0,7608.4872171,27.6084872171,1994-05-25T04:00:00Z
FKNMS,X1994052600_water_temp_0,7994.9711281,27.9949711281,1994-05-26T04:00:00Z
FKNMS,X1994052700_water_temp_0,8204.325923,28.204325923,1994-05-27T04:00:00Z
FKNMS,X1994052800_water_temp_0,9023.1700244,29.023170024400002,1994-05-28T04:00:00Z
FKNMS,X1994052900_water_temp_0,8535.1953916,28.5351953916,1994-05-29T04:00:00Z
FKNMS,X1994053000_water_temp_0,7975.2455526,27.9752455526,1994-05-30T04:00:00Z
